time,hka,mldfa,mpta,jlca,delta,mldta
3.8,150.639,118.801,74.624,-14.816,-1.4210854715202004e-14,141.769
3.81,150.188,118.998,74.733,-14.453,1.0658141036401503e-14,141.431
3.82,149.851,119.081,74.773,-14.159,-7.105427357601002e-15,141.312
3.83,149.487,119.167,74.821,-13.833,0.0,141.165
3.84,149.118,119.258,74.879,-13.497,1.4210854715202004e-14,140.988
3.85,148.738,119.363,74.933,-13.169,0.0010000000000083276,140.808
3.86,148.382,119.467,74.983,-12.866,0.0,140.67
3.87,147.964,119.586,75.053,-12.496,-0.0009999999999976694,140.467
3.88,147.561,119.698,75.123,-12.137,0.0010000000000047748,140.3
3.89,147.206,119.801,75.18,-11.827,1.4210854715202004e-14,140.195
3.9,146.808,119.904,75.244,-11.468,1.4210854715202004e-14,140.06
3.91,146.47,120.026,75.296,-11.2,1.4210854715202004e-14,139.968
3.92,145.97,120.166,75.382,-10.754,7.105427357601002e-15,139.749
